0.000322	0.847342	0.003485	0.148851	2
0.000000	0.000015	0.999968	0.000017	3
0.000011	0.000013	0.999808	0.000169	3
0.968056	0.000002	0.031921	0.000022	1
0.099118	0.000055	0.900605	0.000222	3
0.000159	0.751727	0.163669	0.084445	2
0.000006	0.000063	0.999880	0.000050	3
0.000902	0.111969	0.004470	0.882659	4
0.000016	0.000030	0.999934	0.000020	3
0.002163	0.961009	0.000981	0.035847	2
0.954243	0.000052	0.045351	0.000353	1
0.059199	0.811473	0.005252	0.124076	2
0.999794	0.000135	0.000029	0.000042	1
0.999601	0.000020	0.000258	0.000121	1
0.126016	0.553928	0.268357	0.051699	2
0.000001	0.000004	0.999991	0.000004	3
0.003125	0.022959	0.088350	0.885566	4
0.002784	0.129059	0.014030	0.854127	4
0.000006	0.000005	0.999968	0.000021	3
0.983670	0.000012	0.015918	0.000400	1
0.995451	0.001673	0.001843	0.001033	1
0.994336	0.000069	0.005566	0.000028	1
0.000189	0.990810	0.000180	0.008821	2
0.000021	0.000239	0.999611	0.000128	3
0.999437	0.000006	0.000538	0.000019	1
0.000003	0.000083	0.999822	0.000093	3
0.000108	0.944100	0.002268	0.053524	2
0.994251	0.000794	0.004570	0.000385	1
0.002854	0.001324	0.993525	0.002298	3
0.000038	0.984528	0.000122	0.015312	2
0.000165	0.000064	0.999741	0.000029	3
0.000001	0.000072	0.999902	0.000026	3
0.017474	0.316063	0.090913	0.575550	4
0.999728	0.000006	0.000237	0.000029	1
0.000567	0.622344	0.007263	0.369826	2
0.000118	0.000383	0.998857	0.000643	3
0.997711	0.000274	0.000473	0.001542	1
0.000066	0.976754	0.000123	0.023057	2
0.999385	0.000015	0.000447	0.000154	1
0.252829	0.113012	0.530659	0.103500	3
0.971120	0.002423	0.020777	0.005681	1
0.978135	0.004909	0.002405	0.014551	1
0.994869	0.000082	0.003301	0.001749	1
0.000058	0.978567	0.000031	0.021345	2
0.000022	0.996199	0.000083	0.003695	2
0.000064	0.000001	0.999933	0.000002	3
0.000005	0.000441	0.998920	0.000634	3
